filename,accent_group,reference_text
svarah_samples/Malayalam_8.wav,Malayalam,There have been many attempts recently to make sure that the people maintain their
svarah_samples/Malayalam_15.wav,Malayalam,Can you speak 5 numbers
svarah_samples/Malayalam_18.wav,Malayalam,define the word absolute
svarah_samples/Malayalam_35.wav,Malayalam,The main food of
svarah_samples/Malayalam_45.wav,Malayalam,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,"
svarah_samples/Malayalam_61.wav,Malayalam,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.
svarah_samples/Malayalam_99.wav,Malayalam,what type of learning system do you use
svarah_samples/Malayalam_111.wav,Malayalam,your singing technique
svarah_samples/Malayalam_120.wav,Malayalam,"Of course, there was and is a book which I couldn't ever plunge into, that is sense-wise,"
svarah_samples/Malayalam_152.wav,Malayalam,Happy
svarah_samples/Malayalam_160.wav,Malayalam,all originally written in Greek and together known as the New Testament
svarah_samples/Malayalam_173.wav,Malayalam,"How is the English language used in the media such as radio, television and print?"
svarah_samples/Malayalam_177.wav,Malayalam,Dog
svarah_samples/Malayalam_191.wav,Malayalam,"Christmas is observed with great merriment by Christians of various denominations, including Catholics and Protestants, throughout Assam."
svarah_samples/Malayalam_202.wav,Malayalam,Can you check if the Banaras Hindu University is an AICTE approved institute?
svarah_samples/Hindi_21.wav,Hindi,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.
svarah_samples/Hindi_40.wav,Hindi,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years
svarah_samples/Hindi_85.wav,Hindi,invest in mutual funds where risk is low.
svarah_samples/Hindi_88.wav,Hindi,Can I avail any extra discount offers on Cereals this year?
svarah_samples/Hindi_128.wav,Hindi,Cat
svarah_samples/Hindi_157.wav,Hindi,to pay my FASTag bill?
svarah_samples/Hindi_243.wav,Hindi,where should i go for Mexican food in my area.
svarah_samples/Hindi_277.wav,Hindi,I want to check my EFPO passbook balance for my provident fund account with UAN number 514937736246
svarah_samples/Hindi_327.wav,Hindi,if your future
svarah_samples/Hindi_369.wav,Hindi,"Although, I think recently a lot of media houses are coming up with a lot of regional languages as well"
svarah_samples/Hindi_374.wav,Hindi,Should I say
svarah_samples/Hindi_382.wav,Hindi,where in I was part of a group of 38 people
svarah_samples/Hindi_406.wav,Hindi,My favorite quote is from a classic play named A Woman of No Importance by Oscar Wilde.
svarah_samples/Hindi_411.wav,Hindi,who trekked up to Sarkondi Pass
svarah_samples/Hindi_448.wav,Hindi,because out there in the open
svarah_samples/Nepali_14.wav,Nepali,see this track as my professionalism but I used to manage some time in writing as my
svarah_samples/Nepali_16.wav,Nepali,Will I be able to pay using UPI apps on Hotstar website?
svarah_samples/Nepali_17.wav,Nepali,Backward
svarah_samples/Nepali_19.wav,Nepali,Meghalaya is one of the less developed or underdeveloped states in northeastern India.
svarah_samples/Nepali_36.wav,Nepali,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature
svarah_samples/Nepali_38.wav,Nepali,Are there any vaccination centres available in South Goa district for age group 18+ years
svarah_samples/Nepali_64.wav,Nepali,and after that we celebrate Chaitra Dasai and after that we celebrate Dasai
svarah_samples/Nepali_91.wav,Nepali,What's my Fin care is Small Finance Bank account balance?
svarah_samples/Nepali_101.wav,Nepali,"Commonly here, the culture is followed according to the norms of Nepali people."
svarah_samples/Nepali_103.wav,Nepali,Skip
svarah_samples/Nepali_105.wav,Nepali,by Badrinarayan Pradhan from its original book written by Meksim Gurki in his noble mother.
svarah_samples/Nepali_121.wav,Nepali,"Whatever I learn today or whatever I know about the English today, it's all because"
svarah_samples/Nepali_132.wav,Nepali,in
svarah_samples/Nepali_150.wav,Nepali,"of her life, how she became a writer from a poor dump."
svarah_samples/Nepali_167.wav,Nepali,"designed with 3D print technology, etc. The government envisions developing a voice-based technology."
svarah_samples/Tamil_29.wav,Tamil,"And also, people speaking English have different accents in different regions."
svarah_samples/Tamil_49.wav,Tamil,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift"
svarah_samples/Tamil_75.wav,Tamil,Three
svarah_samples/Tamil_83.wav,Tamil,Mysore has propagated the art of sandalwood carving and Chennapatna toys are very famous and are often gifted as presents for special occasions
svarah_samples/Tamil_94.wav,Tamil,"We differ from other countries in terms of food, in terms of dress"
svarah_samples/Tamil_118.wav,Tamil,The season or the climate in my district is generally dry and it's a comfortable weather. It's not very sunny or very cold.
svarah_samples/Tamil_170.wav,Tamil,Off
svarah_samples/Tamil_192.wav,Tamil,By the way
svarah_samples/Tamil_209.wav,Tamil,Can you list all the vaccination centres where Booster Dose of COVOVAX is available for age groups 15-17 years
svarah_samples/Tamil_259.wav,Tamil,"I used, it is very much helpful"
svarah_samples/Tamil_261.wav,Tamil,"Another issue is the rise of resorts and entertainment centers which have ruthlessly exploited natural resources, water being the main. Resorts have misused this resource and villages have faced major issues due to critically low levels of available ground water"
svarah_samples/Tamil_326.wav,Tamil,"In 1923, he brought out Maharashtra Dharma,"
svarah_samples/Tamil_358.wav,Tamil,better services with
svarah_samples/Tamil_361.wav,Tamil,"Around 1989,"
svarah_samples/Tamil_384.wav,Tamil,Can I know the nearest vaccination center to my current location in district Meerut?
svarah_samples/Bengali_5.wav,Bengali,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.
svarah_samples/Bengali_46.wav,Bengali,Book a HP gas cylinder using my registered contact number 79083174897
svarah_samples/Bengali_50.wav,Bengali,Show my DTH bill readings from the last 6 months.
svarah_samples/Bengali_95.wav,Bengali,Forward
svarah_samples/Bengali_119.wav,Bengali,"My favorite English TV show is Breaking Bad. I didn't watch it live when it started broadcasting, but I watched it later and when I watched it there were five seasons and it was extremely thrilling, grippy and all the familiar issues and other external societal issues has been addressed with such a great expertise."
svarah_samples/Bengali_126.wav,Bengali,Technology has severely impacted the field of photography
svarah_samples/Bengali_148.wav,Bengali,give me the local time of darjeeling
svarah_samples/Bengali_162.wav,Bengali,newspaper
svarah_samples/Bengali_176.wav,Bengali,Bed
svarah_samples/Bengali_196.wav,Bengali,"Eastern and southeastern Rajasthan is drained by the Banas and Chambal rivers, tributaries of the Ganges."
svarah_samples/Bengali_211.wav,Bengali,Next
svarah_samples/Bengali_213.wav,Bengali,Moby Dick
svarah_samples/Bengali_224.wav,Bengali,and social media
svarah_samples/Bengali_229.wav,Bengali,House
svarah_samples/Bengali_234.wav,Bengali,Seven
svarah_samples/Punjabi_24.wav,Punjabi,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world."
svarah_samples/Punjabi_27.wav,Punjabi,Play
svarah_samples/Punjabi_30.wav,Punjabi,"Education, Health, Care, Poverty, Reduction, Women's Empowerment"
svarah_samples/Punjabi_71.wav,Punjabi,"end of the year which are a source of great joy and fun, especially for the kids."
svarah_samples/Punjabi_127.wav,Punjabi,Can you delete Paper Boat Aam Panna from my shopping cart
svarah_samples/Punjabi_133.wav,Punjabi,Can I check my pension amount with my PRAN number
svarah_samples/Punjabi_153.wav,Punjabi,"In Punjab, so many hockey stadium and cycling velodrome with the capacity of 5000 to 10000."
svarah_samples/Punjabi_159.wav,Punjabi,Do you have any favorite English writers and poets?
svarah_samples/Punjabi_200.wav,Punjabi,"Most people here are engaged in businesses of various sorts, which contribute greatly to the overall economy of the district"
svarah_samples/Punjabi_223.wav,Punjabi,"Besides, there are 32 dormitories that can accommodate 1,000 people."
svarah_samples/Punjabi_239.wav,Punjabi,"I think it is easy, humble and very polite language."
svarah_samples/Punjabi_253.wav,Punjabi,Show the transaction details of my APY account with PRAN number 288614536785
svarah_samples/Punjabi_304.wav,Punjabi,Set a reminder for my pending payment to contact Mahnoor
svarah_samples/Punjabi_321.wav,Punjabi,Three
svarah_samples/Punjabi_428.wav,Punjabi,on By Nature Coconut Flour
svarah_samples/Urdu_22.wav,Urdu,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds
svarah_samples/Urdu_43.wav,Urdu,send a complaint to consumer service of this company
svarah_samples/Urdu_48.wav,Urdu,the colleges of art literature
svarah_samples/Urdu_56.wav,Urdu,List all items from Pet food items.
svarah_samples/Urdu_60.wav,Urdu,whereby humans are entrusted with the safe keeping of earth and its variety of life.
svarah_samples/Urdu_66.wav,Urdu,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu."
svarah_samples/Urdu_73.wav,Urdu,Up
svarah_samples/Urdu_87.wav,Urdu,on both the sides of river
