filename,accent_group,reference_text,native_state
svarah_samples/Malayalam_8.wav,Malayalam,There have been many attempts recently to make sure that the people maintain their,Kerala
svarah_samples/Malayalam_15.wav,Malayalam,Can you speak 5 numbers,Kerala
svarah_samples/Malayalam_18.wav,Malayalam,define the word absolute,Kerala
svarah_samples/Malayalam_35.wav,Malayalam,The main food of,Kerala
svarah_samples/Malayalam_45.wav,Malayalam,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,",Kerala
svarah_samples/Malayalam_61.wav,Malayalam,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.,Kerala
svarah_samples/Malayalam_99.wav,Malayalam,what type of learning system do you use,Kerala
svarah_samples/Malayalam_111.wav,Malayalam,your singing technique,Kerala
svarah_samples/Malayalam_120.wav,Malayalam,"Of course, there was and is a book which I couldn't ever plunge into, that is sense-wise,",Kerala
svarah_samples/Malayalam_152.wav,Malayalam,Happy,Kerala
svarah_samples/Malayalam_160.wav,Malayalam,all originally written in Greek and together known as the New Testament,Kerala
svarah_samples/Malayalam_173.wav,Malayalam,"How is the English language used in the media such as radio, television and print?",Kerala
svarah_samples/Malayalam_177.wav,Malayalam,Dog,Kerala
svarah_samples/Malayalam_191.wav,Malayalam,"Christmas is observed with great merriment by Christians of various denominations, including Catholics and Protestants, throughout Assam.",Kerala
svarah_samples/Malayalam_202.wav,Malayalam,Can you check if the Banaras Hindu University is an AICTE approved institute?,Kerala
svarah_samples/Hindi_21.wav,Hindi,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,West Bengal
svarah_samples/Hindi_40.wav,Hindi,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,Rajasthan
svarah_samples/Hindi_85.wav,Hindi,invest in mutual funds where risk is low.,Maharashtra
svarah_samples/Hindi_88.wav,Hindi,Can I avail any extra discount offers on Cereals this year?,Maharashtra
svarah_samples/Hindi_128.wav,Hindi,Cat,Maharashtra
svarah_samples/Hindi_157.wav,Hindi,to pay my FASTag bill?,Maharashtra
svarah_samples/Hindi_243.wav,Hindi,where should i go for Mexican food in my area.,Maharashtra
svarah_samples/Hindi_277.wav,Hindi,I want to check my EFPO passbook balance for my provident fund account with UAN number 514937736246,West Bengal
svarah_samples/Hindi_327.wav,Hindi,if your future,Goa
svarah_samples/Hindi_369.wav,Hindi,"Although, I think recently a lot of media houses are coming up with a lot of regional languages as well",Goa
svarah_samples/Hindi_374.wav,Hindi,Should I say,Gujarat
svarah_samples/Hindi_382.wav,Hindi,where in I was part of a group of 38 people,Goa
svarah_samples/Hindi_406.wav,Hindi,My favorite quote is from a classic play named A Woman of No Importance by Oscar Wilde.,Goa
svarah_samples/Hindi_411.wav,Hindi,who trekked up to Sarkondi Pass,Goa
svarah_samples/Hindi_448.wav,Hindi,because out there in the open,Goa
svarah_samples/Nepali_14.wav,Nepali,see this track as my professionalism but I used to manage some time in writing as my,West Bengal
svarah_samples/Nepali_16.wav,Nepali,Will I be able to pay using UPI apps on Hotstar website?,West Bengal
svarah_samples/Nepali_17.wav,Nepali,Backward,West Bengal
svarah_samples/Nepali_19.wav,Nepali,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,Meghalaya
svarah_samples/Nepali_36.wav,Nepali,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,West Bengal
